x,y,sigma_y
1.97E+06,6.54623E+21,3.93077E+20
2.26E+06,7.78951E+21,7.09839E+20
2.72E+06,1.75327E+22,1.99809E+21
3.01E+06,4.73714E+22,1.35081E+22
3.31E+06,1.15498E+23,3.3021E+22
3.70E+06,3.07622E+23,7.91861E+22
4.05E+06,4.91525E+23,6.76412E+22
4.54E+06,7.42693E+23,1.04126E+23
5.20E+06,1.07277E+24,1.51363E+23
5.68E+06,1.29199E+24,1.4564E+23
6.43E+06,1.70385E+24,3.46711E+23
7.50E+06,2.19065E+24,3.02284E+23
8.07E+06,2.50167E+24,4.33071E+23
1.08E+07,4.06846E+24,5.74993E+23
1.29E+07,5.08162E+24,6.931E+23
